-50.35 -19.89 1.90  
-44.63 -21.28 3.50  
-48.16 -20.25 0.90  
-46.95 -21.60 4.50  
-45.04 -21.14 2.90  
-46.32 -20.67 2.80  
-49.18 -20.30 1.50  
-45.67 -21.59 6.20  
-48.18 -21.02 4.80  
-45.49 -21.61 5.60  
-48.55 -20.00 0.90  
-51.65 -26.00 12.00 
-52.00 -25.78 8.90  
-53.48 -25.53 5.50  
-51.74 -25.49 12.80 
-51.08 -26.23 15.50 
-53.74 -24.19 3.80  
-54.56 -22.97 0.60  
-54.58 -25.42 1.60  
-53.53 -22.38 1.70  
-53.17 -23.18 7.80  
-48.54 -17.99 0.00  
-48.67 -16.15 0.00  
-47.98 -18.45 0.30  
-49.10 -18.42 0.10  
-47.70 -19.13 0.30  
-50.16 -18.07 0.20  
-47.68 -18.05 0.10  
-50.50 -19.02 0.50  
-50.52 -22.94 6.90  
-51.33 -22.65 8.30  
-49.73 -23.01 10.10 
-49.23 -23.22 8.40  
-50.71 -24.06 12.90 
-52.87 -22.50 6.30  
-47.33 -16.21 0.00  
-44.76 -18.95 1.20  
-44.86 -15.93 0.00  
-45.07 -16.37 0.30  
-45.27 -18.16 1.20  
-43.83 -11.35 0.00  
-48.55 -22.52 6.00  
-46.91 -23.46 9.50  
-48.99 -21.76 5.70  
-50.20 -21.12 4.30  
-48.30 -13.40 0.00  
-51.20 -27.78 4.40  
-51.33 -27.60 6.30  
-53.04 -27.14 3.10  
-52.38 -27.27 5.20  
-51.78 -27.52 3.90  
-52.73 -27.35 1.70  
-52.54 -26.66 3.60  
-55.05 -28.14 0.40  
-51.87 -18.68 0.80  
-50.76 -19.16 0.70  
-50.64 -19.12 0.30  
-51.35 -20.40 1.40  
-51.63 -20.86 2.60  
-53.18 -20.06 1.70  
-52.87 -21.66 4.90  
-52.91 -22.46 5.90  
-50.80 -13.69 0.10  
-49.26 -08.27 0.20  
-48.37 -09.76 0.00  
-47.39 -09.31 0.00  
-47.48 -07.33 0.20  
-49.65 -03.83 0.10  
-51.67 -29.07 1.70  
-51.39 -29.01 2.40  
-53.28 -29.45 0.60  
-52.54 -28.56 1.90  
-53.19 -29.02 1.30  
-48.87 -25.14 10.50 
-49.52 -27.14 7.10  
-69.12 -12.60 1.60  
-59.46 -10.16 0.50  
-65.35 -10.73 0.20  
-58.96 -15.12 0.50  
-64.65 -09.25 1.20  
-64.43 -12.43 0.30  
-60.70 -11.99 0.60  
-63.45 -08.75 1.40  
-63.97 -08.87 0.90  
-52.00 -06.74 0.10  
-51.77 -06.75 0.10  
-51.91 -03.41 0.30  
-55.77 -10.98 0.20  
-57.04 -09.19 0.60  
-42.57 -16.74 0.00  
-39.59 -15.97 0.10  
-59.47 -01.92 0.50  
-54.30 -02.82 0.50  
-52.52 -00.65 0.20  
-51.20  00.86 0.10  
-43.57 -06.75 0.10  
-54.83 -17.09 0.20  
-58.73 -15.24 0.30  
-55.78 -14.87 0.10  
-54.83 -17.61 0.20  
-39.00 -12.58 0.00  
-40.20 -17.90 0.30  
-41.72 -20.92 1.80  
-42.85 -20.21 4.00  
-42.85 -19.64 0.90  
-42.66 -19.12 0.70  
-40.92 -19.50 0.80  
-45.87 -23.37 10.90 
-46.03 -23.20 8.00  
-44.57 -22.53 8.20  
-43.84 -22.48 7.30  
-43.54 -21.91 2.30  
-43.36 -21.94 2.50  
-42.58 -21.84 5.40  
-43.83 -22.69 9.40  
-53.67 -25.51 4.60  
-42.41 -21.45 3.60  
-64.66 -09.26 1.50  
-51.77 -03.13 0.20  
